# identity	declared-params	shape	result	fixture	native-status	fuel	comparison
stdlib.format/args	2	variadic	expr	tests/integration/format_arguments.tl	ok	default	assembly
stdlib.format/format	2	variadic	expr	tests/integration/tlci_native_format_scanner.tl	ok	default	assembly
stdlib.format/format-write-literal-callback	5	fixed	expr	tests/integration/format_writer_sinks.tl	ok	default	assembly
stdlib.format/format-write-expand	4	fixed	expr	tests/integration/format_writer_sinks.tl	ok	default	assembly
stdlib.format/write!	3	variadic	expr	tests/integration/format_writer_sinks.tl	ok	default	assembly
stdlib.format/writeln!	3	variadic	expr	tests/integration/format_writer_sinks.tl	ok	default	assembly
stdlib.hash/hash-shared-view	1	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/hash-array-shared-view	2	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/inline-hash	2	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/struct-hash-fields	4	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/tuple-hash-elements	4	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/inline-fixed-array-hash	3	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/enum-hash-payloads	5	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/enum-hash-dispatch	3	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/hash-once	1	fixed	expr	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hash/hash	1	fixed	module	tests/integration/stdlib_hash_generated.tl	ok	default	assembly
stdlib.hashmap/hashmap	2	fixed	module	tests/integration/hashmap_nominal_value_local_smoke.tl	ok	default	assembly
stdlib.io/array-ptr	1	fixed	expr	tests/integration/tlci_native_index_folds.tl	ok	default	assembly
stdlib.io/array-const-ptr	1	fixed	expr	tests/integration/tlci_native_index_folds.tl	ok	default	assembly
stdlib.io/print	2	variadic	expr	tests/integration/format_stdio_family.tl	ok	default	assembly
stdlib.io/println	2	variadic	expr	tests/integration/tlci_native_format_scanner.tl	ok	default	assembly
stdlib.io/eprint	2	variadic	expr	tests/integration/format_stdio_family.tl	ok	default	assembly
stdlib.io/eprintln	2	variadic	expr	tests/integration/format_stdio_family.tl	ok	default	assembly
stdlib.io/print-format	2	variadic	expr	tests/integration/tlci_native_format_scanner.tl	ok	default	assembly
stdlib.json/json-shared-view	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/json-array-element-shared-view	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/json-box-shared-view	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/encode-bool	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/decode-bool	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/encode-int	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/decode-int	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/encode-float	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/decode-float	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/encode-string	1	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/decode-string	2	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/object-empty	0	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
stdlib.json/object-field	3	fixed	expr	tests/integration/stdlib_serialize_json.tl	ok	default	assembly
