variant	id_name	producer	target	abi	feature	render_kind	contribution_kind	entry_anchor	interior_anchors	end_anchor	terminal	events	event_count	expected_rendered_size	expected_rendered_hash
LinuxRuntimeArenaProfile	linux-runtime-arena-profile	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-arena-functions	1:LinuxX64	1:SystemV	4:Profile	0:Assembly	0:RuntimeFunctions	tl_thread_init	tl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nR\nR\nB\nB\nR\nR\nB\nB\nR\nB\nR\nS:%rbx\nS:%r12\nB\nB\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nU:%r12\nU:%rbx\nR	33	4725	401836965
LinuxRuntimeArenaProfileDebug	linux-runtime-arena-profile-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-arena-functions	1:LinuxX64	1:SystemV	9:ProfileArenaDebug	0:Assembly	0:RuntimeFunctions	tl_arena_debug_protect_never_reset	tl_arena_debug_assert_pool_install\ntl_thread_init\ntl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nB\nR\nB\nB\nB\nB\nB\nB\nR\nT:tl_arena_debug_protect_abort\nB\nB\nB\nR\nB\nB\nR\nR\nB\nB\nR\nR\nB\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nR\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nR\nS:%rbx\nS:%r12\nB\nB\nB\nA:-8\nC:.L_tl_arena_debug_unregister_root\nA:+8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nB\nS:%r8\nB\nB\nU:%r8\nB\nU:%r12\nU:%rbx\nR	66	7442	1257564704
LinuxRuntimeAlloc	linux-runtime-alloc	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-alloc-functions	1:LinuxX64	1:SystemV	1:Alloc	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nB\nR\nB\nB\nB\nR\nB\nB\nB\nB\nB\nR\nB\nB\nB\nS:%r9\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nU:%r9\nB\nB\nR\nB\nB\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nB\nB\nB\nB\nR\nT:tl_oom_abort	104	8146	1528833549
LinuxRuntimeAllocDebug	linux-runtime-alloc-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-alloc-functions	1:LinuxX64	1:SystemV	11:AllocArenaDebug	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nB\nR\nB\nB\nB\nR\nB\nB\nB\nB\nB\nR\nB\nB\nB\nS:%r9\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nU:%r9\nB\nB\nR\nB\nB\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nB\nB\nB\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nR\nT:tl_oom_abort	107	8243	1200297259
LinuxRuntimeAllocProfile	linux-runtime-alloc-profile	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-alloc-functions	1:LinuxX64	1:SystemV	10:AllocProfile	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nS:%r9\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nU:%r9\nB\nB\nB\nR\nB\nB\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nB\nB\nB\nB\nB\nR\nT:tl_oom_abort	125	14779	643856254
LinuxRuntimeAllocProfileDebug	linux-runtime-alloc-profile-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-linux-alloc-functions	1:LinuxX64	1:SystemV	12:AllocProfileArenaDebug	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nS:%r9\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nU:%r9\nB\nB\nB\nR\nB\nB\nS:%rdx\nS:%rsi\nU:%rsi\nU:%rdx\nB\nB\nB\nB\nA:-8\nC:.L_tl_arena_debug_register_root\nA:+8\nB\nR\nT:tl_oom_abort	128	14876	1183550932
LinuxRuntimeRegionMark	linux-runtime-region-mark	compiler_backend_runtime_linux.tl:compiler-backend-runtime-region-mark-functions	1:LinuxX64	1:SystemV	2:RegionMark	0:Assembly	0:RuntimeFunctions	tl_region_mark		tl_region_mark:end	1:Returns	B\nR\nR	3	375	528428061
LinuxRuntimeRegionReset	linux-runtime-region-reset	compiler_backend_runtime_linux.tl:compiler-backend-runtime-region-reset-functions	1:LinuxX64	1:SystemV	3:RegionReset	0:Assembly	0:RuntimeFunctions	tl_region_reset		tl_region_reset:end	6:Mixed	S:%rbx\nS:%r12\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nU:%r12\nU:%rbx\nR\nB\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nU:%r12\nU:%rbx\nR\nT:tl_region_abort	37	3547	1127258890
LinuxRuntimeRegionResetDebug	linux-runtime-region-reset-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-region-reset-functions	1:LinuxX64	1:SystemV	14:RegionResetArenaDebug	0:Assembly	0:RuntimeFunctions	tl_region_reset		tl_region_reset:end	6:Mixed	S:%rbx\nS:%r12\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nU:%r12\nU:%rbx\nR\nB\nB\nB\nS:%r8\nC:.L_tl_arena_debug_unregister_root\nU:%r8\nB\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nU:%r12\nU:%rbx\nR\nT:tl_region_abort	44	3995	1963207789
LinuxRuntimeRegionResetProfile	linux-runtime-region-reset-profile	compiler_backend_runtime_linux.tl:compiler-backend-runtime-region-reset-functions	1:LinuxX64	1:SystemV	13:RegionResetProfile	0:Assembly	0:RuntimeFunctions	tl_region_reset		tl_region_reset:end	6:Mixed	S:%rbx\nS:%r12\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nU:%r12\nU:%rbx\nR\nB\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nU:%r12\nU:%rbx\nR\nT:tl_region_abort	37	3827	5155507
LinuxRuntimeRegionResetProfileDebug	linux-runtime-region-reset-profile-debug	compiler_backend_runtime_linux.tl:compiler-backend-runtime-region-reset-functions	1:LinuxX64	1:SystemV	15:RegionResetProfileArenaDebug	0:Assembly	0:RuntimeFunctions	tl_region_reset		tl_region_reset:end	6:Mixed	S:%rbx\nS:%r12\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nB\nU:%r12\nU:%rbx\nR\nB\nB\nB\nS:%r8\nC:.L_tl_arena_debug_unregister_root\nU:%r8\nB\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nB\nB\nB\nS:%r9\nU:%r8\nB\nU:%r12\nU:%rbx\nR\nT:tl_region_abort	44	4275	1834786048
WindowsRuntimeMemcpy	windows-runtime-memcpy	compiler_backend_runtime_windows.tl:compiler-backend-runtime-memcpy-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	0:RuntimeFunctions	tl_memcpy	tl_memcpy_fresh\ntl_mem_copy_fwd\ntl_mem_copy8_fwd	tl_mem_copy8_fwd:end	1:Returns	B\nR\nB\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nB\nR\nB\nB\nB\nB\nR\nB\nB\nB\nB\nB\nR	28	3527	1912350963
WindowsRuntimeMemchr	windows-runtime-memchr	compiler_backend_runtime_windows.tl:compiler-backend-runtime-memchr-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	0:RuntimeFunctions	tl_memchr		tl_memchr:end	1:Returns	B\nB\nB\nR	4	322	1103932611
WindowsRuntimeMemFill8	windows-runtime-mem-fill8	compiler_backend_runtime_windows.tl:compiler-backend-runtime-mem-fill8-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	0:RuntimeFunctions	tl_mem_fill8		tl_mem_fill8:end	1:Returns	B\nS:%rdi\nU:%rdi\nR	4	218	2133200656
WindowsRuntimeArrayZero	windows-runtime-array-zero	compiler_backend_runtime_windows.tl:compiler-backend-runtime-array-zero-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	0:RuntimeFunctions	tl_array_zero		tl_array_zero:end	1:Returns	B\nB\nB\nB\nR\nS:%rdi\nU:%rdi\nR	8	488	1648773169
WindowsRuntimeTlciImage	windows-runtime-tlci-image	compiler_backend_runtime_windows.tl:compiler-backend-runtime-tlci-entry-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	2:TlciBridge	tl_tlci_call_image_entry		tl_tlci_call_image_entry:end	1:Returns	A:-40\nI:*%rax\nA:+40\nR	4	183	2144192620
WindowsRuntimeTlciMacro	windows-runtime-tlci-macro	compiler_backend_runtime_windows.tl:compiler-backend-runtime-tlci-macro-entry-functions	2:WindowsX64	2:Win64	6:TlciMacroEntry	0:Assembly	2:TlciBridge	tl_tlci_call_macro_entry		tl_tlci_call_macro_entry:end	1:Returns	D:40(%rsp)\nD:48(%rsp)\nD:56(%rsp)\nA:-56\nW:32(%rsp)\nW:40(%rsp)\nI:*%rax\nA:+56\nR	9	320	847138409
WindowsRuntimeBacktrace	windows-runtime-backtrace	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-backtrace-functions	2:WindowsX64	2:Win64	7:Backtrace	0:Assembly	0:RuntimeFunctions	tl_backtrace_map_begin	tl_backtrace_map_end\ntl_backtrace_string_begin\ntl_backtrace_string_end	tl_backtrace_string_end:end	1:Returns	R\nR\nR\nR	4	470	830881180
WindowsRuntimeArena	windows-runtime-arena	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-arena-functions	2:WindowsX64	2:Win64	0:Always	0:Assembly	0:RuntimeFunctions	tl_arena_current	tl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	R\nB\nB\nR\nR\nS:%rbp\nS:%rbx\nS:%rsi\nB\nS:%rbp\nS:%rbx\nS:%rsi\nW:40(%rsp)\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nD:40(%rsp)\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nW:40(%rsp)\nC:VirtualFree\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nS:%r12\nB\nB\nB\nB\nC:VirtualFree\nB\nB\nC:VirtualFree\nB\nU:%r12\nU:%rsi\nU:%rbx\nU:%rbp\nR	73	5014	811039507
WindowsRuntimeArenaDebug	windows-runtime-arena-debug	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-arena-functions	2:WindowsX64	2:Win64	8:ArenaDebug	0:Assembly	0:RuntimeFunctions	tl_arena_debug_protect_never_reset	tl_arena_debug_assert_pool_install\ntl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nB\nR\nB\nB\nB\nB\nB\nB\nR\nA:-40\nC:tl_arena_debug_protect_abort\nB\nB\nB\nR\nA:-40\nC:tl_arena_debug_pool_install_abort\nR\nB\nB\nR\nR\nS:%rbp\nS:%rbx\nS:%rsi\nB\nS:%rbp\nS:%rbx\nS:%rsi\nW:40(%rsp)\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nD:40(%rsp)\nC:.L_tl_arena_debug_register_root\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nW:40(%rsp)\nC:VirtualFree\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nC:.L_tl_arena_debug_register_root\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nS:%r12\nB\nB\nB\nC:tl_arena_debug_destroy_abort\nC:.L_tl_arena_debug_unregister_root\nB\nB\nC:VirtualFree\nB\nB\nC:VirtualFree\nB\nU:%r12\nU:%rsi\nU:%rbx\nU:%rbp\nR	104	7625	796281500
WindowsRuntimeArenaProfile	windows-runtime-arena-profile	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-arena-functions	2:WindowsX64	2:Win64	4:Profile	0:Assembly	0:RuntimeFunctions	tl_arena_current	tl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	R\nB\nB\nR\nR\nS:%rbp\nS:%rbx\nS:%rsi\nB\nS:%rbp\nS:%rbx\nS:%rsi\nW:40(%rsp)\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nD:40(%rsp)\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nW:40(%rsp)\nC:VirtualFree\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nS:%r12\nB\nB\nB\nB\nC:VirtualFree\nB\nB\nC:VirtualFree\nB\nU:%r12\nU:%rsi\nU:%rbx\nU:%rbp\nR	73	5110	241820904
WindowsRuntimeArenaProfileDebug	windows-runtime-arena-profile-debug	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-arena-functions	2:WindowsX64	2:Win64	9:ProfileArenaDebug	0:Assembly	0:RuntimeFunctions	tl_arena_debug_protect_never_reset	tl_arena_debug_assert_pool_install\ntl_arena_current\ntl_arena_set\ntl_arena_poison_enable\ntl_arena_make\ntl_arena_make_small\ntl_arena_make_atomic\ntl_arena_destroy	tl_arena_destroy:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nB\nR\nB\nB\nB\nB\nB\nB\nR\nA:-40\nC:tl_arena_debug_protect_abort\nB\nB\nB\nR\nA:-40\nC:tl_arena_debug_pool_install_abort\nR\nB\nB\nR\nR\nS:%rbp\nS:%rbx\nS:%rsi\nB\nS:%rbp\nS:%rbx\nS:%rsi\nW:40(%rsp)\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nD:40(%rsp)\nC:.L_tl_arena_debug_register_root\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nW:40(%rsp)\nC:VirtualFree\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nC:VirtualAlloc\nB\nC:VirtualAlloc\nB\nC:.L_tl_arena_debug_register_root\nU:%rsi\nU:%rbx\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nC:tl_oom_abort\nS:%rbp\nS:%rbx\nS:%rsi\nS:%r12\nB\nB\nB\nC:tl_arena_debug_destroy_abort\nC:.L_tl_arena_debug_unregister_root\nB\nB\nC:VirtualFree\nB\nB\nC:VirtualFree\nB\nU:%r12\nU:%rsi\nU:%rbx\nU:%rbp\nR	104	7721	1193815112
WindowsRuntimeAlloc	windows-runtime-alloc	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-alloc-functions	2:WindowsX64	2:Win64	1:Alloc	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nS:%rbp\nS:%rbx\nS:%rsi\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nU:%rsi\nU:%rbx\nU:%rbp\nR\nB\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nS:%rbp\nC:.L_tl_alloc_win_commit_to\nB\nX:mov %rbp, %rsp\nU:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nB\nB\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:.L_tl_alloc_win_commit_to\nB\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:tl_oom_abort	173	13890	1909494154
WindowsRuntimeAllocDebug	windows-runtime-alloc-debug	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-alloc-functions	2:WindowsX64	2:Win64	11:AllocArenaDebug	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nR\nB\nB\nR\nT:tl_alloc\nS:%rbp\nS:%rbx\nS:%rsi\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nU:%rsi\nU:%rbx\nU:%rbp\nR\nB\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nR\nS:%rbp\nC:.L_tl_alloc_win_commit_to\nB\nX:mov %rbp, %rsp\nU:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nB\nB\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:.L_tl_alloc_win_commit_to\nB\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:.L_tl_arena_debug_register_root\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:tl_oom_abort	174	13951	297833020
WindowsRuntimeAllocProfile	windows-runtime-alloc-profile	compiler_backend_runtime_windows.tl:compiler-backend-runtime-windows-alloc-functions	2:WindowsX64	2:Win64	10:AllocProfile	0:Assembly	0:RuntimeFunctions	tl_alloc		tl_alloc:end	6:Mixed	B\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nB\nB\nB\nB\nR\nB\nB\nB\nR\nT:tl_alloc\nS:%rbp\nS:%rbx\nS:%rsi\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nU:%rsi\nU:%rbx\nU:%rbp\nR\nB\nB\nB\nB\nB\nB\nB\nB\nR\nB\nB\nB\nB\nB\nR\nS:%rbp\nC:.L_tl_alloc_win_commit_to\nB\nX:mov %rbp, %rsp\nU:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nS:%rbp\nB\nB\nB\nB\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:.L_tl_alloc_win_commit_to\nB\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nC:VirtualAlloc\nB\nB\nB\nB\nB\nB\nX:mov %rbp, %rsp\nU:%rbp\nR\nC:GetLastError\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:GetLastError\nC:VirtualFree\nW:40(%rsp)\nW:32(%rsp)\nC:tl_windows_allocation_abort\nB\nC:tl_oom_abort	194	20563	812496703
