variant	id_name	producer	target	abi	feature	render_kind	contribution_kind	entry_anchor	interior_anchors	end_anchor	terminal	events	event_count	expected_rendered_size	expected_rendered_hash
LinuxObjectTlciMacroBytes	linux-object-tlci-macro-bytes	compiler_backend_object_target_linux.tl:compiler-backend-object-tlci-macro-entry-bytes	1:LinuxX64	1:SystemV	6:TlciMacroEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	D:stack-argument-7\nA:-8\nI:generated-tlci-macro-entry\nA:+8\nR	5	34	1274541308
LinuxObjectExitBytes	linux-object-exit-bytes	compiler_backend_object_target_linux.tl:compiler-backend-object-exit-bytes	1:LinuxX64	1:SystemV	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				3:TerminatesProcess	P:linux-exit-syscall	1	12	1533807520
WindowsObjectChkstkBytes	windows-object-chkstk-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-chkstk-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	S:rcx\nS:rax\nD:incoming-stack-probe-base\nB:chkstk-done\nB:chkstk-loop\nU:rax\nU:rcx\nR	8	46	550953089
WindowsObjectSetupPreGetcmdBytes	windows-object-setup-pre-getcmd-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-setup-pre-getcmd-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	S:rbp\nS:rbx\nS:r12\nS:r13\nS:r14\nS:r15\nA:-40	7	17	1655936205
WindowsObjectSetupAfterGetcmdBytes	windows-object-setup-after-getcmd-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-setup-after-getcmd-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	B:argv-cmdlen-loop\nA:-32	2	27	2005687839
WindowsObjectSetupAfterBoot1Bytes	windows-object-setup-after-boot1-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-setup-after-boot1-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	A:+32\nB:argv-copy-loop\nA:-32	3	45	417189635
WindowsObjectSetupAfterBoot2Bytes	windows-object-setup-after-boot2-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-setup-after-boot2-pre-store-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	A:+32\nB:argv-scan\nB:argv-token\nB:argv-quote\nB:argv-finish	5	108	1109680540
WindowsObjectSetupEpilogueBytes	windows-object-setup-epilogue-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-setup-epilogue-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	A:+40\nU:r15\nU:r14\nU:r13\nU:r12\nU:rbx\nU:rbp\nR	8	15	1240262209
WindowsObjectAddRdxRaxBytes	windows-object-add-rdx-rax-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-add-rdx-rax-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	3	1253224
WindowsObjectRetBytes	windows-object-ret-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-ret-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	R	1	1	196
WindowsObjectTlciImageBytes	windows-object-tlci-image-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-tlci-entry-bytes	2:WindowsX64	2:Win64	0:Always	1:OpaqueBytes	5:ByteFragment				1:Returns	A:-40\nI:generated-tlci-image-entry\nA:+40\nR	4	20	218073427
WindowsObjectTlciMacroBytes	windows-object-tlci-macro-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-tlci-macro-entry-bytes	2:WindowsX64	2:Win64	6:TlciMacroEntry	1:OpaqueBytes	5:ByteFragment				1:Returns	D:stack-arguments-5-through-7\nA:-56\nW:outgoing-stack-arguments-5-and-6\nI:generated-tlci-macro-entry\nA:+56\nR	6	48	1264185272
WindowsObjectEntryGsClearBytes	windows-object-entry-gs-clear-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-gs-clear-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	13	1791231761
WindowsObjectConvertFiberArgsBytes	windows-object-convert-fiber-args-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-convert-fiber-args-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	2	6752
WindowsObjectCreateFiberArgsBytes	windows-object-create-fiber-args-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-create-fiber-args-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough		0	16	520386363
WindowsObjectCreateFiberTailBytes	windows-object-create-fiber-tail-bytes	compiler_backend_object_target_windows.tl:compiler-backend-object-entry-create-fiber-tail-bytes	2:WindowsX64	2:Win64	18:NativeEntry	1:OpaqueBytes	5:ByteFragment				0:FallsThrough	W:CreateFiberEx-argument-5	1	12	301111843
